"","PitchId","BatterId","PitcherId","PitcherHand","BatterSide","HomeTeamId","AwayTeamId","PitchCall","PitchType","ReleaseSpeed","PlateX","TrajectoryLocationY","PlateZ","StrikeZoneTop","StrikeZoneBottom","Balls","Strikes","VerticalBreak","InducedVerticalBreak","HorzBreak","VertApproachAngle","HorzApproachAngle","LaunchSpeed","LaunchAngle","LaunchSpinAxis","LaunchDirection","LaunchSpinRate","LandingPositionX","LandingPositionY","LandingPositionZ"
"1",1,1,1,"L","R",115,119,"called_strike","CH",82.9517974853516,0.000658107339404523,1.41666662693024,1.91058719158173,3.34029603004456,1.49000000953674,0,0,-2.95449709892273,0.330030590295792,-0.760605275630951,-7.63418626785278,1.08766257762909,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,1,1,"L","R",115,119,"ball","KC",79.0442810058594,-1.24765574932098,1.41666662693024,1.10324096679688,3.2248272895813,1.49000000953674,0,1,-4.32180118560791,-0.727823674678802,0.403275370597839,-9.79141521453857,3.90162897109985,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,1,1,"L","R",115,119,"field_out","SL",87.3157119750977,-0.270819336175919,1.41666662693024,2.88864970207214,3.28500008583069,1.48699998855591,1,1,-2.42471408843994,0.512405455112457,0.0276757907122374,-5.72113752365112,2.53332018852234,82.4297866821289,30.8218116760254,204.933959960938,10.7870979309082,2263.12475585938,104.179557800293,295.970184326172,0.0304029006510973
"4",4,2,1,"L","L",115,119,"ball","SI",91.5329513549805,1.13655161857605,1.41666662693024,2.72696566581726,3.32499194145203,1.374680519104,0,0,-2.17580461502075,0.508681237697601,-1.16747772693634,-5.59422302246094,-0.382425099611282,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,2,1,"L","L",115,119,"swinging_strike","KC",80.2226104736328,-0.56890457868576,1.41666662693024,1.11824524402618,3.54900002479553,1.62699997425079,1,0,-4.00009489059448,-0.514564454555511,0.0821467489004135,-9.40711212158203,2.86195850372314,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,2,1,"L","L",115,119,"single","SI",90.939094543457,0.735875427722931,1.41666662693024,2.30099129676819,3.54900002479553,1.62699997425079,1,1,-2.20668077468872,0.500264704227448,-1.12814629077911,-6.0262303352356,0.089518316090107,104.82600402832,5.19442415237427,298.274047851562,33.1879844665527,3698.5380859375,63.701732635498,89.854118347168,-0.0020116379018873
"7",7,3,1,"L","R",115,119,"ball","CH",84.6775512695312,-0.525002539157867,1.41666662693024,0.77569717168808,3.34584641456604,1.5900000333786,0,0,-2.51268100738525,0.61875706911087,-0.876275956630707,-8.28062438964844,1.62621545791626,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,3,1,"L","R",115,119,"called_strike","CH",84.378776550293,0.550018548965454,1.41666662693024,1.48230075836182,3.33316349983215,1.5900000333786,1,0,-2.73356080055237,0.438414037227631,-1.02631938457489,-7.79507541656494,0.35237729549408,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,3,1,"L","R",115,119,"ball","SL",86.13037109375,1.57747066020966,1.41666662693024,2.39681315422058,3.34560561180115,1.5900000333786,1,1,-2.42685008049011,0.589214205741882,-0.0780067145824432,-6.08544445037842,0.83836567401886,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,3,1,"L","R",115,119,"pickoff_attempt_1b",NA,NA,NA,NA,NA,3.35899996757507,1.70000004768372,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,3,1,"L","R",115,119,"ball","CH",84.7455368041992,0.619712948799133,1.41666662693024,0.89988762140274,3.24039340019226,1.5900000333786,2,1,-2.59954309463501,0.510051727294922,-0.962393999099731,-8.04839134216309,0.422507107257843,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,3,1,"L","R",115,119,"walk","SI",92.47998046875,0.931339621543884,1.41666662693024,3.21525979042053,3.28325748443604,1.5900000333786,3,1,-1.88972675800323,0.733972668647766,-1.00497364997864,-4.73293781280518,0.0800589993596077,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,4,1,"L","R",115,119,"called_strike","FF",92.2411193847656,0.377800166606903,1.41666662693024,1.72723519802094,3.48850846290588,1.65022957324982,0,0,-1.70533645153046,0.919017910957336,-0.835559129714966,-6.29242753982544,0.632622957229614,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,4,1,"L","R",115,119,"swinging_strike","FF",92.3742294311523,-0.0794334784150124,1.41666662693024,3.65106081962585,3.31900000572205,1.51300001144409,0,1,-1.60287272930145,1.01337730884552,-0.747732639312744,-4.25258445739746,1.17885768413544,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,4,1,"L","R",115,119,"ball","KC",80.4637756347656,-0.426250547170639,1.41666662693024,0.992635071277618,3.39565372467041,1.6308376789093,0,2,-4.01119756698608,-0.542483508586884,0.282134026288986,-9.49007320404053,2.88303279876709,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,4,1,"L","R",115,119,"foul","FF",92.4804916381836,0.095564179122448,1.41666662693024,3.33063912391663,3.31900000572205,1.51300001144409,1,2,-1.70297026634216,0.902980864048004,-0.712177097797394,-4.52629804611206,0.958005964756012,82.7927093505859,51.7836685180664,218.957015991211,72.1617431640625,5262.67041015625,251.677215576172,16.7591457366943,0.0383042059838772
