,hc_x,hc_y
3744,80.87,72.81
4350,160.99,167.0
2037,114.35,155.34
2351,207.05,111.72
3132,72.97,110.89
3369,95.15,119.65
4356,112.83,150.77
3293,115.87,154.83
3538,161.49,103.63
4058,119.42,88.92
53,116.88,74.73
171,57.84,95.5
68,101.05,57.1
111,104.62,43.78
583,122.97,52.16
239,173.07,90.38
862,143.24,156.86
1058,137.64,103.71
600,136.65,143.68
774,142.6,105.37
863,124.05,141.33
1216,146.87,165.31
1287,110.19,144.36
1444,28.24,72.49
988,140.71,175.61
1022,140.0,178.2
1244,97.77,163.6
1541,97.1,166.17
1775,185.18,138.0
1934,105.73,174.6
1964,34.63,97.06
2294,114.35,151.28
2344,57.57,107.68
2706,84.63,142.95
3808,52.96,108.91
3853,195.12,101.81
2607,108.77,173.59
3162,146.29,170.04
3496,82.45,73.92
2877,148.13,156.78
3970,38.79,91.86
2558,174.44,129.45
3125,185.75,105.52
3767,103.73,153.94
3379,123.75,143.58
4477,130.77,59.19
3860,111.5,138.79
3045,149.26,95.24
2030,72.07,95.25
2277,103.59,163.86
3686,76.67,151.0
4211,166.02,48.43
3927,146.61,195.24
1921,201.41,83.51
2438,69.58,103.14
3183,83.35,106.68
198,199.63,144.95
241,148.63,85.93
310,157.07,64.11
173,143.06,186.13
557,155.61,77.18
451,167.86,133.5
520,156.73,157.28
677,66.98,84.56
731,116.58,104.76
713,139.66,104.09
1048,74.53,130.22
843,70.49,75.6
975,148.13,166.39
1344,131.43,180.06
1657,103.59,168.42
1243,168.87,130.46
1349,198.47,131.35
1547,126.36,178.03
2291,148.13,154.75
1756,103.09,167.91
1972,177.98,121.86
2847,115.23,145.14
3756,100.55,58.63
2105,151.67,156.27
3411,68.23,92.21
3733,78.16,125.66
4453,126.74,98.09
2510,199.19,113.13
1597,180.75,111.72
1744,93.29,141.3
1869,156.32,169.48
1970,142.84,143.87
2881,117.65,160.18
4037,115.76,186.96
4152,141.59,146.99
3921,142.02,86.74
3955,97.83,43.21
3627,115.27,149.39
3848,107.29,163.64
2657,140.04,41.06
3847,81.01,99.42
4500,108.75,161.2
77,163.19,32.04
229,160.47,70.02
283,86.53,172.8
307,77.6,47.02
4317,157.16,97.94
5,164.78,105.1
73,115.02,48.11
112,132.84,95.94
252,152.54,152.44
512,111.01,143.79
874,113.47,53.93
963,200.36,92.51
303,124.34,181.44
390,159.59,165.31
599,110.98,150.6
979,116.73,151.62
1486,122.48,145.53
682,164.0,164.15
765,104.18,169.37
938,173.4,93.95
1593,112.02,154.15
1146,63.04,101.93
1290,206.55,111.76
2067,147.05,154.15
2629,125.09,148.07
1867,98.43,170.38
1937,120.35,104.82
2031,106.27,166.83
3952,127.18,180.02
4316,52.35,129.59
2884,127.18,148.07
4361,151.75,164.8
3297,85.14,48.44
3834,104.79,166.01
2565,152.96,175.58
4076,156.0,123.62
4090,127.21,161.17
4170,132.62,78.78
2777,56.94,86.47
3586,116.91,184.8
2609,121.15,218.13
2798,113.27,157.53
3518,127.59,54.59
2120,155.09,154.5
2455,144.78,143.59
3157,116.91,150.86
3567,138.72,92.69
3940,116.91,182.98
2853,163.72,108.78
0,215.08,107.23
12,196.95,95.17
2900,117.03,74.37
3311,122.97,192.07
3505,101.29,138.2
347,70.92,31.3
1924,105.39,170.26
306,39.94,106.02
876,118.12,160.56
1084,141.75,175.1
1192,113.88,149.65
611,172.66,121.77
1151,117.45,161.46
1225,210.16,48.24
1282,101.15,167.83
1561,131.2,161.05
2054,120.93,139.7
2672,113.88,150.86
2854,102.88,116.84
4112,153.24,90.96
4146,179.93,118.14
4388,38.79,97.17
3523,142.2,160.73
1948,174.17,75.09
2046,147.31,57.94
2203,138.74,162.9
2867,108.15,118.23
3462,196.9,107.49
2086,105.34,165.1
2459,121.9,84.69
2651,125.04,187.17
2965,22.46,104.72
3314,49.01,96.6
1807,112.01,152.36
2218,128.23,192.21
3396,159.73,124.25
3892,113.22,178.44
4108,140.23,98.5
3121,108.97,131.14
3500,148.74,168.55
3622,108.37,154.79
3519,182.96,101.42
1915,132.22,189.69
2649,165.23,77.86
2990,175.01,156.73
3641,124.13,143.87
3833,105.34,164.49
3490,166.16,92.53
3812,95.03,94.15
4206,87.75,99.6
2375,104.68,153.09
4459,148.39,164.49
2532,107.15,160.85
3551,72.11,114.56
2000,97.65,124.61
2861,112.61,158.43
2060,111.4,156.0
4298,107.15,169.95
299,152.09,169.63
404,189.65,55.33
528,114.83,190.03
3954,71.64,77.49
37,184.78,100.21
166,159.91,143.27
695,130.24,177.56
728,158.8,90.81
811,158.7,33.5
859,107.25,98.42
965,133.29,74.61
980,166.26,112.47
532,116.48,95.61
1152,149.0,155.4
1256,187.2,103.24
1434,122.36,98.83
1502,127.77,89.3
883,197.05,79.07
1169,215.1,99.6
1305,95.64,103.78
1361,160.56,89.34
1902,145.72,143.09
2191,63.49,119.01
3690,106.02,138.65
1579,181.74,106.28
1676,95.79,68.77
1849,111.02,96.92
1977,189.38,126.08
2684,134.93,48.3
3245,123.86,103.46
3885,168.56,78.77
3177,112.82,149.51
3301,84.08,134.14
4182,127.36,211.34
3700,124.17,64.17
3440,73.97,154.38
3699,199.18,110.75
3285,161.86,60.49
4068,95.2,67.41
2213,90.24,99.5
3433,97.16,88.16
3945,95.45,135.49
3235,114.63,143.45
3823,180.97,102.0
2167,115.24,209.52
2801,135.37,132.81
3074,78.69,48.46
356,194.64,130.12
4435,94.07,89.82
45,177.78,106.58
215,178.69,146.43
274,184.34,128.9
603,179.94,162.8
754,144.37,59.77
984,74.42,101.41
865,127.17,175.58
994,180.38,138.0
1245,174.75,165.09
1345,94.72,152.33
1126,196.38,120.91
1291,110.13,131.21
1591,198.89,128.3
1533,96.92,159.93
1603,97.86,127.63
1943,132.36,83.35
2080,144.82,151.63
2246,105.91,175.2
1856,148.33,169.32
1960,110.65,72.08
2164,156.54,66.61
2482,54.63,136.7
3401,210.27,113.51
2614,89.09,151.68
2683,91.6,130.12
3094,75.47,105.14
1809,191.8,85.04
2197,157.8,164.87
3029,130.39,145.55
3705,168.96,93.69
4280,92.73,91.3
2928,154.92,46.88
3579,161.27,121.06
2863,68.76,91.68
3644,98.93,153.18
3776,100.09,104.28
2487,140.54,188.26
2770,128.59,170.8
3570,146.13,165.69
63,115.68,185.72
2287,55.56,134.27
3741,41.81,76.42
372,110.85,73.11
748,183.3,70.1
410,124.3,146.06
461,85.58,93.57
643,120.75,143.52
840,110.6,148.09
1109,75.45,62.27
1221,141.62,88.8
926,107.56,152.16
990,70.72,94.49
1085,46.41,104.68
1286,166.42,106.4
1469,77.62,195.38
1638,56.52,111.69
1482,109.43,146.0
1532,100.45,167.92
1605,66.96,108.94
1678,105.85,134.31
2149,108.33,95.06
1762,178.07,104.52
1846,151.91,89.88
2626,158.61,94.06
3445,147.14,171.48
3229,155.43,78.05
2644,98.64,173.49
3934,213.16,41.66
4177,137.77,146.26
2412,198.87,137.56
2638,96.07,59.5
3233,89.72,117.37
4158,174.59,63.96
3101,102.46,168.91
3558,100.03,171.34
4434,48.49,96.75
3250,93.07,167.72
3475,194.47,51.48
4508,211.61,111.91
84,86.08,108.88
3778,90.33,120.4
3986,122.47,91.29
4511,104.28,165.88
381,114.21,145.23
540,127.72,55.28
2954,143.75,174.88
3351,76.81,99.21
672,113.73,37.51
700,149.14,157.22
806,186.45,94.58
103,142.48,148.9
382,107.31,166.49
412,122.31,71.57
523,71.92,102.75
846,128.22,177.8
1132,191.06,124.96
629,110.34,156.18
803,98.21,102.21
845,80.02,115.55
1393,146.73,153.14
1200,111.55,184.68
1421,230.45,112.19
1568,150.84,160.67
1760,102.46,154.36
1818,138.02,82.17
1991,100.03,165.88
2082,167.1,155.99
4169,115.56,99.63
2892,108.52,153.14
3013,108.96,119.31
3304,123.08,190.74
4263,150.36,153.14
2655,160.13,165.78
3247,204.68,108.35
3329,84.59,115.59
3762,113.99,177.44
4309,107.91,144.46
3752,86.64,125.39
1946,203.6,76.9
2851,126.16,86.18
2924,116.73,112.8
4183,78.85,179.24
2889,106.9,171.86
3009,121.08,44.13
2355,77.49,123.06
2727,164.18,103.42
66,73.86,117.89
114,145.93,148.54
210,163.03,62.16
267,167.38,152.35
311,125.65,86.18
453,143.96,199.22
489,171.71,69.55
567,156.85,163.87
732,150.58,168.25
844,165.2,135.86
661,119.06,152.09
804,154.43,78.57
956,96.87,158.74
1032,129.71,183.01
1114,107.4,174.9
914,150.5,153.61
933,163.73,82.62
1213,117.0,155.97
1203,128.19,183.01
1378,154.04,156.65
1484,164.94,52.91
1586,145.81,94.25
1717,132.24,178.45
1606,58.23,117.61
1947,83.07,56.78
2052,52.93,126.59
1810,84.59,183.01
2010,132.1,55.85
2219,120.57,135.0
2857,63.52,109.68
3004,154.67,62.4
2979,154.27,173.17
3773,89.84,169.11
