,hc_x,hc_y
1715,122.36,85.41
2072,103.2,142.13
2288,96.3,159.35
2773,107.82,149.65
3219,109.12,181.99
2849,75.87,88.69
3521,161.75,167.83
3828,123.79,147.38
3095,160.54,163.59
3279,188.89,85.97
2715,108.56,148.51
2884,161.58,97.37
3393,95.3,154.61
4161,133.24,138.91
4203,148.56,152.14
2384,125.53,213.35
1629,88.98,97.4
1729,131.59,166.08
1947,143.71,152.14
3514,170.38,178.2
3657,123.6,153.13
4455,106.14,148.51
2283,90.96,91.26
2399,161.29,130.93
2512,223.38,95.85
3458,143.73,84.33
3296,93.41,186.69
3508,109.17,171.54
3697,95.84,195.17
535,102.64,143.79
12,91.76,148.56
682,167.95,181.84
921,58.27,84.26
983,82.82,65.83
30,141.11,89.23
43,168.56,116.39
69,125.18,202.59
1121,175.49,87.23
359,163.71,100.63
636,56.52,110.28
1508,144.93,153.96
1712,88.46,157.0
1906,110.01,161.54
910,125.86,180.26
1057,181.42,60.3
1216,124.93,176.99
2311,35.15,61.85
2489,52.87,94.47
3967,55.32,61.42
1769,122.82,197.36
1966,124.32,97.6
2238,160.08,112.15
3304,201.13,110.03
3470,107.61,172.26
4086,94.41,98.0
1155,104.05,175.31
1372,174.04,38.82
1425,119.82,85.9
1496,149.05,113.19
1659,79.49,98.92
2719,123.78,104.99
3771,90.97,140.76
4094,82.42,111.63
1825,131.88,177.16
1964,43.54,107.1
2037,70.95,108.62
2175,140.6,93.93
2383,185.37,154.36
3707,144.16,148.86
2814,162.43,103.09
4172,168.34,82.09
4371,69.46,81.2
2625,144.16,149.88
3046,79.2,42.66
3341,154.82,165.14
3978,87.63,162.72
3267,153.83,158.7
2262,125.09,186.33
3168,187.31,108.17
3759,167.9,66.19
34,102.53,145.81
78,163.45,84.77
152,163.13,48.72
193,104.16,94.85
2097,106.08,167.93
2748,167.42,87.79
2868,138.57,188.54
3666,56.0,133.96
4142,71.32,144.45
256,128.93,184.47
348,140.57,145.94
382,52.93,121.91
434,117.76,149.88
381,74.23,108.76
511,121.02,143.6
570,123.63,196.21
872,104.05,169.21
1029,148.73,150.39
1248,153.29,153.95
1080,105.58,170.23
1180,65.4,127.47
1406,33.06,54.87
1380,110.15,174.8
1495,179.54,110.2
1542,163.48,168.06
1920,214.72,94.41
2083,106.59,154.46
4106,84.26,94.95
2354,123.85,150.9
3164,114.16,53.52
3249,122.33,164.12
1968,97.72,169.58
2353,156.14,97.73
2429,156.72,133.49
4232,96.67,142.13
3450,190.78,99.98
2118,212.82,88.02
2401,156.41,198.64
2508,159.75,169.8
2854,105.28,157.09
3363,105.28,169.8
3519,143.17,85.48
3810,158.6,40.81
4117,98.12,159.49
1435,146.92,141.27
414,161.56,167.38
540,105.62,173.75
2247,19.92,81.84
2682,136.65,83.63
3518,146.17,68.52
571,145.22,182.51
672,175.62,131.73
894,124.66,182.48
1034,209.18,120.13
1193,213.68,96.16
4180,98.66,175.82
2198,161.56,112.92
3919,214.74,115.51
643,157.33,95.37
666,220.61,91.76
867,41.14,117.15
1212,56.27,127.44
1481,45.09,82.21
1592,121.72,143.29
1898,107.1,156.49
1301,144.62,166.17
1892,124.17,108.33
2007,118.44,147.13
2234,96.81,160.12
2294,104.07,77.21
2184,104.07,155.28
3205,179.27,62.57
3653,116.35,70.01
3880,98.02,168.59
3658,38.89,110.57
4276,156.11,168.59
3179,62.32,129.96
3366,137.28,186.72
3733,242.05,80.35
4099,96.82,75.38
3087,107.02,163.79
3209,178.77,135.09
3848,123.77,142.47
4223,66.41,111.51
1367,110.11,167.15
1701,130.54,61.4
3262,137.2,56.23
3700,175.29,74.46
1962,99.3,129.25
2979,82.76,34.58
3540,206.05,71.9
4118,105.49,93.74
66,118.15,103.3
2926,100.42,166.83
3804,104.92,120.95
4229,114.63,162.26
216,30.97,102.09
429,100.56,131.67
503,192.03,95.08
710,170.31,149.84
81,153.72,161.25
107,89.67,148.23
808,143.84,61.37
959,190.23,78.04
481,129.86,185.11
577,45.37,44.6
1460,153.72,151.1
1725,59.36,82.21
1774,117.81,43.65
816,153.21,152.62
843,94.33,108.97
1210,102.45,95.77
1494,187.72,134.35
1727,98.9,147.54
1863,91.02,165.29
2129,152.19,170.39
2378,182.92,97.81
3028,100.42,151.1
2664,127.32,182.57
3086,178.42,104.25
3773,176.53,42.75
4176,39.26,70.28
2565,113.48,44.25
3447,199.35,101.95
2587,112.45,149.0
2672,67.45,113.93
3280,186.1,113.25
4123,202.34,87.04
4320,68.24,107.81
1540,150.61,155.67
1720,44.37,98.53
1976,108.82,150.21
2050,153.64,165.96
2571,108.37,52.89
2982,87.01,116.9
3464,121.54,149.61
4379,74.67,72.22
1887,105.18,165.36
2446,114.05,72.73
2966,33.01,61.52
3407,171.21,118.72
2227,152.16,90.62
2389,101.74,157.99
2466,59.66,93.74
2921,150.53,168.13
3003,145.08,158.43
3845,94.14,66.93
3436,116.57,160.85
3749,122.64,69.28
4083,114.76,159.03
2707,24.79,81.51
3925,174.41,121.06
147,40.3,117.39
188,167.05,147.12
269,150.53,158.43
296,216.22,99.88
647,114.76,182.08
731,178.5,60.92
855,169.0,130.0
977,207.03,96.55
517,102.63,193.6
709,111.12,160.85
810,175.6,59.92
968,144.59,72.1
1036,201.47,125.07
1239,119.61,160.25
1335,146.9,152.36
1242,149.32,151.15
1449,87.2,160.57
1638,105.0,128.0
1905,114.15,156.0
1956,111.72,158.43
2230,160.45,166.17
2416,147.5,85.66
3192,186.31,111.73
3320,83.23,105.48
4162,113.54,152.97
4245,171.76,45.66
2880,47.12,100.55
3093,178.72,108.69
3542,109.08,154.56
4380,142.2,144.09
3527,67.15,103.6
3193,115.09,149.05
3603,145.39,154.5
4218,129.03,176.32
3026,150.84,166.01
3617,129.03,181.16
3694,153.27,160.56
3007,155.09,158.74
3204,155.15,66.49
4041,128.15,192.38
4163,130.86,103.48
87,111.45,153.29
141,102.75,74.41
196,170.87,131.98
140,117.51,149.05
248,232.7,102.33
377,75.58,72.63
505,145.39,161.77
286,106.0,147.83
327,87.82,189.65
413,158.13,97.96
484,115.28,95.37
532,144.78,156.92
605,104.7,160.63
687,192.39,110.35
735,105.39,165.41
703,90.81,61.14
837,139.02,52.61
1136,114.44,67.15
1432,102.97,169.65
926,40.23,112.95
1063,147.03,46.78
1317,98.18,69.45
1891,173.82,88.24
2069,155.69,163.59
2265,77.49,75.5
3068,189.6,123.5
1373,149.03,155.71
1614,114.33,75.04
3587,135.33,60.17
3888,153.38,139.35
4444,111.32,99.03
2030,105.39,164.8
2223,109.43,85.84
2778,43.59,104.15
3265,88.4,109.06
3872,92.61,49.21
2677,152.67,68.84
1759,116.27,60.56
2178,137.63,94.42
3851,115.84,152.19
4105,65.26,89.46
2451,154.77,113.56
2965,161.95,192.22
3299,141.68,153.2
3939,150.45,169.59
4038,75.05,127.76
1543,151.82,157.76
1598,209.58,115.7
131,74.29,166.38
221,93.04,164.35
444,208.38,120.74
502,41.41,43.62
533,159.59,44.36
1650,77.71,84.67
1658,121.63,47.64
1761,105.7,101.01
2018,145.52,169.86
752,167.87,108.46
883,137.24,146.07
925,34.76,104.05
1077,119.33,58.78
2615,150.8,157.76
2896,95.87,87.33
3212,153.34,154.22
3984,132.26,140.59
1115,184.27,116.31
1225,100.72,58.75
1273,131.96,174.03
4337,150.93,149.11
409,118.64,97.34
463,206.04,111.65
697,100.93,86.96
744,201.3,135.01
1368,110.6,151.72
1436,135.66,142.83
1643,110.08,157.99
989,62.62,87.68
1074,200.46,121.28
1307,146.04,125.8
1428,150.86,173.65
1667,162.74,101.17
2029,109.24,80.25
2685,45.09,118.05
1509,100.05,81.36
2686,58.93,43.67
3021,126.46,178.27
4133,165.0,159.31
3404,185.84,120.65
3825,78.06,125.06
4213,180.93,117.76
1300,161.54,103.28
1415,166.68,117.99
1528,120.77,141.65
2970,144.16,160.2
4153,81.45,26.07
1718,159.37,164.76
1777,165.53,70.61
2002,120.84,157.16
2127,138.39,61.9
1919,55.14,95.44
2233,137.54,182.23
2964,192.41,47.12
2241,201.95,105.95
2765,103.09,167.3
3820,84.44,149.65
3663,158.35,161.21
4132,131.46,113.51
283,146.69,145.5
336,105.92,152.07
2320,107.15,153.61
2527,99.56,32.3
3224,158.62,140.19
4057,91.56,167.92
515,76.76,100.44
635,109.69,149.55
708,73.96,127.96
347,113.34,69.49
495,158.82,152.05
