,index,PitchId,BatterId,PitcherId,PitcherHand,BatterSide,PitchCall,PitchType,ReleaseSpeed,PlateX,TrajectoryLocationY,PlateZ,StrikeZoneTop,StrikeZoneBottom,Balls,Strikes,VerticalBreak,InducedVerticalBreak,HorzBreak,VertApproachAngle,HorzApproachAngle,LaunchSpeed,LaunchAngle,LaunchSpinAxis,LaunchDirection,LaunchSpinRate,LandingPositionX,LandingPositionY,LandingPositionZ,barrel,Outs_Generated,PitchResult,slg,inning_outs,Inning,Inning_Top_Bottom,At_Bat_Num
18,19,20,4,1,L,R,field_out,FF,92.3,-9.707498073577884,1.41666662693024,37.22108173370364,3.31900000572205,1.51300001144409,2,2,-1.61788833141327,12.30259609222416,-6.036033153533939,-4.82342624664307,2.10567927360535,83.59,60.16,188.08268737793,-5.83776998519897,5001.48095703125,11.3423652648926,209.42463684082,-0.0405526347458363,Other,1,Out,0,2,1,Top,1
19,20,21,5,1,L,L,ball,SI,91.2,16.4318647384644,1.41666662693024,27.675853729247997,3.17481994628906,1.52999997138977,0,0,-2.34397029876709,4.241467595100408,-12.393336296081518,-6.19368648529053,-0.395756274461746,0.0,None,,,,,,,Other,0,Not In-Play,0,2,1,Top,1
20,21,22,5,1,L,L,ball,KC,80.2,16.26969337463376,1.41666662693024,41.2849445343018,3.15268516540527,1.52999997138977,1,0,-4.12546443939209,-7.656058073043829,1.329331845045084,-7.08173036575317,0.885636150836945,0.0,None,,,,,,,Other,0,Not In-Play,0,2,1,Top,1
21,22,23,5,1,L,L,ball,SL,89.0,19.415146350860642,1.41666662693024,46.42706108093256,3.08089232444763,1.52999997138977,2,0,-2.39985489845276,5.286324977874756,0.9171989858150484,-4.60956335067749,0.579074740409851,0.0,None,,,,,,,Other,0,Not In-Play,0,2,1,Top,1
22,23,24,5,1,L,L,field_out,SI,91.9,5.394401192665104,1.41666662693024,35.89186763763432,3.37100005149841,1.5349999666214,3,0,-2.34717798233032,3.45958721637726,-10.083994388580324,-5.34547138214111,0.795822739601135,72.87,63.2,175.153411865234,-10.7103681564331,4591.67724609375,-44.1758651733398,146.638641357422,0.0107514355331659,Other,1,Out,0,3,1,Top,1
23,24,25,6,2,R,L,ball,FF,92.9,-8.26891565322876,1.41666662693024,44.6553440093994,3.36124491691589,1.60000002384186,0,0,-1.36434876918793,14.99352979660032,7.465986728668211,-3.93756151199341,-1.94261276721954,0.0,None,,,,,,,Other,0,Not In-Play,0,0,1,Bottom,1
24,25,26,6,2,R,L,ball,FF,92.9,9.184689760208125,1.41666662693024,11.395445823669432,3.30850291252136,1.60000002384186,1,0,-1.36350405216217,15.22708082199096,9.179391145706171,-6.90991067886353,-3.3351092338562,0.0,None,,,,,,,Other,0,Not In-Play,0,0,1,Bottom,1
25,26,27,6,2,R,L,called_strike,FF,92.4,-0.46143436431884755,1.41666662693024,35.04810047149656,3.30723237991333,1.60000002384186,2,0,-1.45645475387573,14.347214698791479,9.632372617721556,-4.69384479522705,-2.54579854011536,0.0,None,,,,,,,Other,0,Not In-Play,0,0,1,Bottom,1
26,27,28,6,2,R,L,foul,FC,90.9,9.944191217422489,1.41666662693024,24.616304397582958,3.49000000953674,1.60099995136261,2,1,-1.9147047996521,9.821861743926997,1.726757705211636,-6.02225065231323,-4.3696870803833,0.0,None,,,,,,,Other,0,Not In-Play,0,0,1,Bottom,1
27,28,29,6,2,R,L,foul,CH,86.9,-0.12048199027776721,1.41666662693024,18.02046489715572,3.49000000953674,1.60099995136261,2,2,-2.84143972396851,1.840675592422488,11.934748649597172,-7.61183166503906,-2.50403141975403,66.0,-43.12,180.0,-176.379592895508,4068.373046875,-0.169695928692818,0.841087102890015,-0.0166733060032129,Other,0,Not In-Play,0,0,1,Bottom,1
